Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_min_25,ws,tm,tm,2.25,-2.75,7.286,17.25,117700000,70.44,3393000,1459,-0.3843,5.062e-08,2.477e-07,2.636e-07,-0.3977,0.3161,-1.111,261500000,-260900000,-53.94,-60.18,1.428
Proc_Vol_min_26,ws,tm,tm,2.75,-2.75,10.14,20.12,149700000,55.83,3414000,1133,-0.004889,4.389e-08,2.291e-07,2.586e-07,-0.06611,0.8961,-1.028,527600000,-525900000,-40.74,-48.8,1.924
Proc_Vol_min_27,tm,wp,tm,2.5,-2.5,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_Vol_min_28,tm,wp,tm,2.25,-2.5,5.911,15.43,137600000,76.2,3465000,1355,-0.1529,5.759e-08,2.552e-07,2.567e-07,-0.1674,0.4169,-0.7517,266500000,-259400000,-53.27,-67.98,1.169
Proc_Vol_min_29,tm,wp,tm,2.75,-2.5,9.154,19.23,177600000,57.35,3469000,1052,0.2378,4.494e-08,2.362e-07,2.483e-07,0.1726,1.044,-0.6993,515500000,-522800000,-40.19,-50.33,1.744
Proc_Vol_min_30,tm,wp,tm,2.5,-2.25,7.139,17.07,159200000,68.09,3434000,1166,0.2442,5.041e-08,2.403e-07,2.461e-07,0.2062,0.8996,-0.4873,381500000,-380700000,-44.88,-57.06,1.387
Proc_Vol_min_31,tm,wp,tm,2.25,-2.25,5.382,14.62,138600000,79.02,3437000,1343,0.04961,6.031e-08,2.49e-07,2.523e-07,0.03386,0.5666,-0.4989,258400000,-251200000,-52.54,-70.36,1.066
Proc_Vol_min_32,tm,wp,tm,2.75,-2.25,8.634,18.72,180000000,59.03,3426000,1035,0.4324,4.556e-08,2.328e-07,2.409e-07,0.3646,1.187,-0.4581,514000000,-519600000,-39.86,-50.91,1.645
Proc_Vol_min_33,tm,wp,tm,2.5,-2.75,8.272,18.35,155700000,64.04,3495000,1193,-0.1568,4.775e-08,2.485e-07,2.589e-07,-0.1917,0.6073,-0.9907,391900000,-391100000,-45.62,-54.2,1.598
Proc_Vol_min_34,tm,wp,tm,2.25,-2.75,6.428,16.16,137000000,73.46,3487000,1364,-0.3591,5.529e-08,2.601e-07,2.617e-07,-0.3723,0.262,-1.007,273800000,-266200000,-54.1,-65.68,1.269
Proc_Vol_min_35,tm,wp,tm,2.75,-2.75,9.62,19.66,175700000,56.52,3500000,1065,0.03628,4.445e-08,2.365e-07,2.59e-07,-0.02657,0.8892,-0.9424,516800000,-523000000,-40.51,-49.83,1.832
Proc_Vol_min_36,wp,wp,tm,2.5,-2.5,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_Vol_min_37,wp,wp,tm,2.25,-2.5,5.911,15.43,137600000,76.2,3465000,1355,-0.1529,5.759e-08,2.552e-07,2.567e-07,-0.1674,0.4169,-0.7517,266500000,-259400000,-53.27,-67.98,1.169
Proc_Vol_min_38,wp,wp,tm,2.75,-2.5,9.154,19.23,177600000,57.35,3469000,1052,0.2378,4.494e-08,2.362e-07,2.483e-07,0.1726,1.044,-0.6993,515500000,-522800000,-40.19,-50.33,1.744
Proc_Vol_min_39,wp,wp,tm,2.5,-2.25,7.139,17.07,159200000,68.09,3434000,1166,0.2442,5.041e-08,2.403e-07,2.461e-07,0.2062,0.8996,-0.4873,381500000,-380700000,-44.88,-57.06,1.387
Proc_Vol_min_40,wp,wp,tm,2.25,-2.25,5.382,14.62,138600000,79.02,3437000,1343,0.04961,6.031e-08,2.49e-07,2.523e-07,0.03386,0.5666,-0.4989,258400000,-251200000,-52.54,-70.36,1.066
Proc_Vol_min_41,wp,wp,tm,2.75,-2.25,8.634,18.72,180000000,59.03,3426000,1035,0.4324,4.556e-08,2.328e-07,2.409e-07,0.3646,1.187,-0.4581,514000000,-519600000,-39.86,-50.91,1.645
Proc_Vol_min_42,wp,wp,tm,2.5,-2.75,8.272,18.35,155700000,64.04,3495000,1193,-0.1568,4.775e-08,2.485e-07,2.589e-07,-0.1917,0.6073,-0.9907,391900000,-391100000,-45.62,-54.2,1.598
Proc_Vol_min_43,wp,wp,tm,2.25,-2.75,6.428,16.16,137000000,73.46,3487000,1364,-0.3591,5.529e-08,2.601e-07,2.617e-07,-0.3723,0.262,-1.007,273800000,-266200000,-54.1,-65.68,1.269
Proc_Vol_min_44,wp,wp,tm,2.75,-2.75,9.62,19.66,175700000,56.52,3500000,1065,0.03628,4.445e-08,2.365e-07,2.59e-07,-0.02657,0.8892,-0.9424,516800000,-523000000,-40.51,-49.83,1.832
Proc_Vol_min_45,ws,wp,tm,2.5,-2.5,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_Vol_min_46,ws,wp,tm,2.25,-2.5,5.911,15.43,137600000,76.2,3465000,1355,-0.1529,5.759e-08,2.552e-07,2.567e-07,-0.1674,0.4169,-0.7517,266500000,-259400000,-53.27,-67.98,1.169
Proc_Vol_min_47,ws,wp,tm,2.75,-2.5,9.154,19.23,177600000,57.35,3469000,1052,0.2378,4.494e-08,2.362e-07,2.483e-07,0.1726,1.044,-0.6993,515500000,-522800000,-40.19,-50.33,1.744
Proc_Vol_min_48,ws,wp,tm,2.5,-2.25,7.139,17.07,159200000,68.09,3434000,1166,0.2442,5.041e-08,2.403e-07,2.461e-07,0.2062,0.8996,-0.4873,381500000,-380700000,-44.88,-57.06,1.387
Proc_Vol_min_49,ws,wp,tm,2.25,-2.25,5.382,14.62,138600000,79.02,3437000,1343,0.04961,6.031e-08,2.49e-07,2.523e-07,0.03386,0.5666,-0.4989,258400000,-251200000,-52.54,-70.36,1.066
Proc_Vol_min_50,ws,wp,tm,2.75,-2.25,8.634,18.72,180000000,59.03,3426000,1035,0.4324,4.556e-08,2.328e-07,2.409e-07,0.3646,1.187,-0.4581,514000000,-519600000,-39.86,-50.91,1.645
Proc_Vol_min_51,ws,wp,tm,2.5,-2.75,8.272,18.35,155700000,64.04,3495000,1193,-0.1568,4.775e-08,2.485e-07,2.589e-07,-0.1917,0.6073,-0.9907,391900000,-391100000,-45.62,-54.2,1.598
Proc_Vol_min_52,ws,wp,tm,2.25,-2.75,6.428,16.16,137000000,73.46,3487000,1364,-0.3591,5.529e-08,2.601e-07,2.617e-07,-0.3723,0.262,-1.007,273800000,-266200000,-54.1,-65.68,1.269
Proc_Vol_min_53,ws,wp,tm,2.75,-2.75,9.62,19.66,175700000,56.52,3500000,1065,0.03628,4.445e-08,2.365e-07,2.59e-07,-0.02657,0.8892,-0.9424,516800000,-523000000,-40.51,-49.83,1.832
Proc_Vol_min_54,tm,ws,tm,2.5,-2.5,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_Vol_min_55,tm,ws,tm,2.25,-2.5,7.695,17.72,99310000,69.21,3277000,1569,-0.2034,4.792e-08,2.311e-07,2.624e-07,-0.219,0.5289,-0.9669,231700000,-236800000,-52.6,-56.58,1.496
Proc_Vol_min_56,tm,ws,tm,2.75,-2.5,10.24,20.2,130600000,56.21,3294000,1203,0.1537,4.371e-08,2.183e-07,2.534e-07,0.09144,1.06,-0.8769,512100000,-518800000,-40.59,-48.14,1.937
Proc_Vol_min_57,tm,ws,tm,2.5,-2.25,8.839,18.93,116600000,61.34,3257000,1347,0.181,4.499e-08,2.192e-07,2.535e-07,0.1382,0.9775,-0.7012,361500000,-371700000,-43.85,-50.09,1.679
Proc_Vol_min_58,tm,ws,tm,2.25,-2.25,7.068,16.99,99480000,71.58,3253000,1564,0.004156,4.956e-08,2.255e-07,2.591e-07,-0.01462,0.6747,-0.704,223200000,-228000000,-51.02,-58.5,1.379
