Corner,V_bias,cap_scs,mos_scs,res_scs,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_min_27,0.15,tm,wz,wp,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_28,0.15,wp,wz,wp,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_29,0.15,ws,wz,wp,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_30,0.15,tm,tm,ws,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_31,0.15,wp,tm,ws,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_32,0.15,ws,tm,ws,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_33,0.15,tm,wp,ws,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_34,0.15,wp,wp,ws,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_35,0.15,ws,wp,ws,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_36,0.15,tm,ws,ws,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_37,0.15,wp,ws,ws,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_38,0.15,ws,ws,ws,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_39,0.15,tm,wo,ws,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_40,0.15,wp,wo,ws,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_41,0.15,ws,wo,ws,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_42,0.15,tm,wz,ws,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_43,0.15,wp,wz,ws,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_44,0.15,ws,wz,ws,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
