Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg
Proc_min_28,wp,wz,wp,20.25,18600000,43.1,3411000,0.7407,10.3,0.1571,4.232e-08,7.656e-05,7.792e-05,-34.01,-43.63,0.03797,0.1898,0.02058,-0.01738,8511000,-10830000
Proc_min_29,wp,wz,ws,20.25,18600000,43.1,3411000,0.7407,10.3,0.1571,4.232e-08,7.656e-05,7.792e-05,-34.01,-43.63,0.03797,0.1898,0.02058,-0.01738,8511000,-10830000
Proc_min_30,ws,tm,tm,18.84,16330000,50.11,3394000,0.8952,8.754,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7214000,-8551000
Proc_min_31,ws,tm,wp,18.84,16330000,50.11,3394000,0.8952,8.754,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7214000,-8551000
Proc_min_32,ws,tm,ws,18.84,16330000,50.11,3394000,0.8952,8.754,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7214000,-8551000
Proc_min_33,ws,wp,tm,17.98,20090000,52.61,3482000,0.6983,7.928,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6286000,-5691000
Proc_min_34,ws,wp,wp,17.98,20090000,52.61,3482000,0.6983,7.928,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6286000,-5691000
Proc_min_35,ws,wp,ws,17.98,20090000,52.61,3482000,0.6983,7.928,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6286000,-5691000
Proc_min_36,ws,ws,tm,19.66,13220000,50.45,3300000,1.199,9.611,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.93,-45.44,0.03559,0.178,0.01629,-0.0193,7462000,-9671000
Proc_min_37,ws,ws,wp,19.66,13220000,50.45,3300000,1.199,9.611,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.93,-45.44,0.03559,0.178,0.01629,-0.0193,7462000,-9671000
Proc_min_38,ws,ws,ws,19.66,13220000,50.45,3300000,1.199,9.611,-0.03554,4.425e-08,7.656e-05,8.7e-05,-38.93,-45.44,0.03559,0.178,0.01629,-0.0193,7462000,-9671000
Proc_min_39,ws,wo,tm,16.28,14110000,63.38,3371000,1.127,6.52,-0.168,5.618e-08,0.000115,0.0001304,-48.45,-60.53,0.02498,0.1249,0.008875,-0.01611,5876000,-6287000
Proc_min_40,ws,wo,wp,16.28,14110000,63.38,3371000,1.127,6.52,-0.168,5.618e-08,0.000115,0.0001304,-48.45,-60.53,0.02498,0.1249,0.008875,-0.01611,5876000,-6287000
Proc_min_41,ws,wo,ws,16.28,14110000,63.38,3371000,1.127,6.52,-0.168,5.618e-08,0.000115,0.0001304,-48.45,-60.54,0.02498,0.1249,0.008875,-0.01611,5876000,-6287000
Proc_min_42,ws,wz,tm,20.25,18530000,42.97,3411000,0.7416,10.3,0.1571,4.232e-08,7.656e-05,7.792e-05,-34.01,-43.64,0.03797,0.1898,0.02058,-0.01738,8515000,-10860000
Proc_min_43,ws,wz,wp,20.25,18530000,42.97,3411000,0.7416,10.3,0.1571,4.232e-08,7.656e-05,7.792e-05,-34.01,-43.64,0.03797,0.1898,0.02058,-0.01738,8515000,-10860000
Proc_min_44,ws,wz,ws,20.25,18530000,42.97,3411000,0.7416,10.3,0.1571,4.232e-08,7.656e-05,7.792e-05,-34.01,-43.64,0.03797,0.1898,0.02058,-0.01738,8515000,-10860000
