Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_min_26,tm,tm,ws,20.36,19590000,43.13,3428000,0.6969,10.42,-0.01949,4.373e-08,7.548e-05,7.848e-05,-35.87,-44.52,0.03841,0.192,0.01757,-0.02083,10430000,-13440000,2.75,-2.75
PV_min_27,tm,wp,tm,17.99,20120000,52.73,3482000,0.6978,7.93,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6282000,-5665000,2.5,-2.5
PV_min_28,tm,wp,tm,15.63,18110000,61.52,3479000,0.8022,6.046,-0.1655,5.766e-08,0.0001332,0.0001382,-48.04,-64.16,0.02332,0.1166,0.008053,-0.01527,4070000,-4028000,2.25,-2.5
PV_min_29,tm,wp,tm,19.47,21900000,45.69,3483000,0.616,9.409,0.2227,4.481e-08,8.604e-05,8.618e-05,-35.48,-45.99,0.03479,0.174,0.02053,-0.01426,9023000,-11780000,2.75,-2.5
PV_min_30,tm,wp,tm,17.26,18650000,56.34,3449000,0.7942,7.297,0.2302,5.039e-08,0.000108,0.0001121,-40.04,-52.86,0.02767,0.1383,0.01767,-0.01,6492000,-6406000,2.5,-2.25
PV_min_31,tm,wp,tm,14.81,16420000,65.93,3452000,0.9262,5.499,0.03687,6.045e-08,0.0001433,0.0001518,-47.37,-66.77,0.02126,0.1063,0.01105,-0.01021,4010000,-4102000,2.25,-2.25
PV_min_32,tm,wp,tm,18.94,20530000,50.35,3440000,0.6925,8.853,0.4172,4.546e-08,8.93e-05,9.139e-05,-35.15,-46.61,0.03282,0.1641,0.02339,-0.009435,9756000,-12510000,2.75,-2.25
PV_min_33,tm,wp,tm,18.6,21470000,48.76,3509000,0.6206,8.514,-0.1707,4.766e-08,9.646e-05,9.669e-05,-40.76,-49.89,0.03189,0.1595,0.01182,-0.02007,6002000,-4926000,2.5,-2.75
PV_min_34,tm,wp,tm,16.4,19590000,56.4,3502000,0.7045,6.607,-0.3717,5.531e-08,0.0001241,0.000127,-48.8,-61.69,0.02532,0.1266,0.004956,-0.02036,4089000,-3932000,2.25,-2.75
PV_min_35,tm,wp,tm,19.91,23210000,42.76,3515000,0.5536,9.901,0.02114,4.43e-08,8.294e-05,8.199e-05,-35.81,-45.47,0.03656,0.1828,0.01743,-0.01912,8212000,-10350000,2.75,-2.75
PV_min_36,tm,wp,wp,17.99,20120000,52.73,3482000,0.6978,7.93,0.03229,4.889e-08,0.000102,0.0001036,-40.39,-51.28,0.02986,0.1493,0.01484,-0.01502,6282000,-5665000,2.5,-2.5
PV_min_37,tm,wp,wp,15.63,18110000,61.52,3479000,0.8022,6.046,-0.1655,5.766e-08,0.0001332,0.0001382,-48.04,-64.16,0.02332,0.1166,0.008053,-0.01527,4070000,-4028000,2.25,-2.5
PV_min_38,tm,wp,wp,19.47,21900000,45.69,3483000,0.616,9.409,0.2227,4.481e-08,8.604e-05,8.618e-05,-35.48,-45.99,0.03479,0.174,0.02053,-0.01426,9023000,-11780000,2.75,-2.5
PV_min_39,tm,wp,wp,17.26,18650000,56.34,3449000,0.7942,7.297,0.2302,5.039e-08,0.000108,0.0001121,-40.04,-52.86,0.02767,0.1383,0.01767,-0.01,6492000,-6406000,2.5,-2.25
PV_min_40,tm,wp,wp,14.81,16420000,65.93,3452000,0.9262,5.499,0.03687,6.045e-08,0.0001433,0.0001518,-47.37,-66.77,0.02126,0.1063,0.01105,-0.01021,4010000,-4102000,2.25,-2.25
PV_min_41,tm,wp,wp,18.94,20530000,50.35,3440000,0.6925,8.853,0.4172,4.546e-08,8.93e-05,9.139e-05,-35.15,-46.61,0.03282,0.1641,0.02339,-0.009435,9756000,-12510000,2.75,-2.25
PV_min_42,tm,wp,wp,18.6,21470000,48.76,3509000,0.6206,8.514,-0.1707,4.766e-08,9.646e-05,9.669e-05,-40.76,-49.89,0.03189,0.1595,0.01182,-0.02007,6002000,-4926000,2.5,-2.75
