Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_max_294,ws,tm,ws,24.69,16660000,23.37,3503000,0.809,17.16,-0.5928,3.32e-08,5.095e-05,5.223e-05,-34.89,-32.23,0.06073,0.3036,0.01951,-0.04122,12890000,-14100000,2.5,-2.75
PV_max_295,ws,tm,ws,25.51,14610000,21.34,3536000,0.9358,18.87,-0.8098,3.048e-08,4.64e-05,4.835e-05,-23.35,-24.91,0.06225,0.3112,0.01921,-0.04304,6033000,-4812000,2.25,-2.75
PV_max_296,ws,tm,ws,24.01,18750000,24.87,3494000,0.7112,15.87,-0.3878,3.561e-08,5.518e-05,5.598e-05,-43.41,-37.14,0.05716,0.2858,0.02059,-0.03657,17140000,-18670000,2.75,-2.75
PV_max_297,ws,wp,tm,24.43,19100000,23.25,3575000,0.7166,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-40.98,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16850000,2.5,-2.5
PV_max_298,ws,wp,tm,25.1,16670000,21.09,3617000,0.8309,18,-0.585,2.983e-08,5.069e-05,5.032e-05,-27.48,-26.98,0.06058,0.3029,0.02133,-0.03924,6649000,-6473000,2.25,-2.5
PV_max_299,ws,wp,tm,23.82,21100000,26.45,3558000,0.6288,15.52,-0.1437,3.482e-08,5.907e-05,5.736e-05,-39.27,-37.13,0.05566,0.2783,0.02422,-0.03144,18060000,-21170000,2.75,-2.5
PV_max_300,ws,wp,tm,24.23,17650000,24.52,3550000,0.8167,16.27,-0.1419,3.238e-08,5.515e-05,5.477e-05,-39.5,-33.5,0.05742,0.2871,0.02581,-0.03161,13300000,-15110000,2.5,-2.25
PV_max_301,ws,wp,tm,24.91,15230000,23.64,3598000,0.9612,17.61,-0.3649,2.971e-08,5.099e-05,5.14e-05,-27.95,-26.49,0.05861,0.293,0.02438,-0.03423,6486000,-5907000,2.25,-2.25
PV_max_302,ws,wp,tm,23.62,19780000,27.88,3528000,0.7076,15.17,0.06997,3.473e-08,5.934e-05,5.852e-05,-36.6,-37.04,0.0544,0.272,0.02756,-0.02684,17600000,-19480000,2.75,-2.25
PV_max_303,ws,wp,tm,24.6,20410000,22.31,3597000,0.6364,16.98,-0.5794,3.259e-08,5.431e-05,5.284e-05,-40.28,-34.24,0.06004,0.3002,0.01905,-0.04099,13890000,-18460000,2.5,-2.75
PV_max_304,ws,wp,tm,25.28,18160000,18.33,3635000,0.7284,18.36,-0.8083,2.996e-08,5.01e-05,4.947e-05,-27.11,-27.51,0.06219,0.311,0.01798,-0.04421,6729000,-7059000,2.25,-2.75
PV_max_305,ws,wp,tm,23.97,22340000,24.92,3584000,0.5646,15.79,-0.3652,3.491e-08,5.841e-05,5.642e-05,-43.26,-36.93,0.05658,0.2829,0.02057,-0.03601,18230000,-23090000,2.75,-2.75
PV_max_306,ws,wp,wp,24.43,19100000,23.25,3575000,0.7166,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-40.98,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16850000,2.5,-2.5
PV_max_307,ws,wp,wp,25.1,16670000,21.09,3617000,0.8309,18,-0.585,2.983e-08,5.069e-05,5.032e-05,-27.48,-26.98,0.06058,0.3029,0.02133,-0.03924,6649000,-6473000,2.25,-2.5
PV_max_308,ws,wp,wp,23.82,21100000,26.45,3558000,0.6288,15.52,-0.1437,3.482e-08,5.907e-05,5.736e-05,-39.27,-37.13,0.05566,0.2783,0.02422,-0.03144,18060000,-21170000,2.75,-2.5
