Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_227,2.25,-2.5,ws,ws,tm,85,32.71,5200000,70.75,11730000,6.107,1.854,-1.775,2.065,-1.775,6.321e-05,0.0001434,1.474,-1.506,0.03013,-0.02948
PVT_228,2.5,-2.5,ws,ws,tm,25,34.04,7124000,70.54,10170000,4.713,2.088,-2.056,2.319,-2.056,4.375e-05,0.0001121,pending,pending,pending,pending
PVT_229,2.5,-2.5,ws,ws,tm,-25,34.97,8806000,70.54,8994000,3.924,2.112,-2.144,2.336,-2.144,3.152e-05,9.378e-05,1.482,-1.513,0.03027,-0.02963
PVT_230,2.5,-2.5,ws,ws,tm,85,32.87,5658000,71.58,11270000,5.625,2.067,-1.947,2.302,-1.947,5.77e-05,0.0001337,1.477,-1.512,0.03025,-0.02954
PVT_231,2.75,-2.5,ws,ws,tm,25,31.94,6340000,74.69,9451000,4.359,2.296,-2.159,2.557,-2.159,4.91e-05,0.000129,1.48,-1.515,0.0303,-0.0296
PVT_232,2.75,-2.5,ws,ws,tm,-25,31.76,7000000,75.4,8161000,3.622,2.322,-2.224,2.574,-2.224,3.94e-05,0.0001203,1.482,-1.514,0.03028,-0.02964
PVT_233,2.75,-2.5,ws,ws,tm,85,31.89,5600000,74.09,10710000,5.217,2.273,-2.075,2.539,-2.075,5.838e-05,0.0001388,1.478,-1.515,0.0303,-0.02956
PVT_234,2.25,-2.75,ws,ws,tm,25,34.97,7904000,68.77,10100000,4.718,1.859,-2.153,2.069,-2.153,3.753e-05,9.96e-05,1.476,-1.515,0.03029,-0.02952
PVT_235,2.25,-2.75,ws,ws,tm,-25,36.43,10230000,68.23,9011000,3.929,1.88,-2.268,2.085,-2.268,2.459e-05,7.981e-05,1.479,-1.513,0.03026,-0.02958
PVT_236,2.25,-2.75,ws,ws,tm,85,33.44,6071000,70.35,11160000,5.63,1.839,-2.021,2.053,-2.021,5.301e-05,0.0001223,1.473,-1.515,0.03029,-0.02945
PVT_237,2.5,-2.75,ws,ws,tm,25,34.43,8087000,70.8,9610000,4.363,2.072,-2.312,2.307,-2.312,3.667e-05,9.896e-05,1.478,-1.515,0.0303,-0.02957
PVT_238,2.5,-2.75,ws,ws,tm,-25,35.05,9680000,71.09,8417000,3.625,2.095,-2.403,2.324,-2.403,2.587e-05,8.515e-05,1.481,-1.513,0.03027,-0.02961
PVT_239,2.5,-2.75,ws,ws,tm,85,33.45,6527000,71.21,10750000,5.221,2.051,-2.194,2.29,-2.194,4.937e-05,0.0001163,1.476,-1.516,0.03032,-0.02951
PVT_240,2.75,-2.75,ws,ws,tm,25,32.07,6962000,74.87,8914000,4.062,2.279,-2.405,2.544,-2.405,4.235e-05,0.0001173,1.479,-1.516,0.03031,-0.02958
PVT_241,2.75,-2.75,ws,ws,tm,-25,31.68,7561000,76.03,7638000,3.37,2.304,-2.472,2.561,-2.472,3.306e-05,0.0001117,1.481,-1.514,0.03027,-0.02962
PVT_242,2.75,-2.75,ws,ws,tm,85,32.29,6326000,73.88,10210000,4.87,2.256,-2.316,2.526,-2.316,5.093e-05,0.0001232,1.477,-1.517,0.03034,-0.02953
PVT_243,2.25,-2.25,tm,wo,tm,25,33.48,6109000,70.45,11430000,5.293,1.839,-1.709,2.085,-1.709,5.23e-05,0.0001335,1.477,-1.497,0.02995,-0.02954
PVT_244,2.25,-2.25,tm,wo,tm,-25,34.91,7885000,68.86,10380000,4.462,1.859,-1.797,2.101,-1.797,3.603e-05,0.0001077,1.48,-1.501,0.03002,-0.0296
PVT_245,2.25,-2.25,tm,wo,tm,85,32.1,4831000,71.65,12380000,6.227,1.82,-1.617,2.068,-1.617,6.993e-05,0.0001608,1.474,-1.484,0.02969,-0.02947
PVT_246,2.5,-2.25,tm,wo,tm,25,32.97,6332000,72.22,10800000,4.82,2.052,-1.863,2.323,-1.863,5.057e-05,0.0001312,1.479,-1.505,0.0301,-0.02959
PVT_247,2.5,-2.25,tm,wo,tm,-25,33.6,7585000,71.94,9642000,4.047,2.074,-1.936,2.34,-1.936,3.744e-05,0.0001133,1.482,-1.505,0.03011,-0.02963
PVT_248,2.5,-2.25,tm,wo,tm,85,32.1,5196000,72.8,11840000,5.697,2.031,-1.777,2.306,-1.777,6.455e-05,0.0001516,1.477,-1.502,0.03003,-0.02954
PVT_249,2.75,-2.25,tm,wo,tm,25,30.23,5272000,77.28,9965000,4.429,2.26,-1.952,2.561,-1.952,6.066e-05,0.000161,1.48,-1.508,0.03017,-0.02961
PVT_250,2.75,-2.25,tm,wo,tm,-25,29.92,5699000,77.85,8721000,3.707,2.284,-2.006,2.578,-2.006,4.953e-05,0.0001526,1.482,-1.508,0.03015,-0.02965
PVT_251,2.75,-2.25,tm,wo,tm,85,30.5,4847000,76.29,11150000,5.254,2.238,-1.886,2.544,-1.886,6.934e-05,0.0001673,1.478,-1.507,0.03015,-0.02956
PVT_252,2.25,-2.5,tm,wo,tm,25,34.23,7292000,69.49,10740000,4.826,1.825,-1.969,2.073,-1.969,4.186e-05,0.0001125,1.476,-1.513,0.03026,-0.02952
PVT_253,2.25,-2.5,tm,wo,tm,-25,35.52,9279000,68.96,9668000,4.052,1.845,-2.068,2.09,-2.068,2.762e-05,9.175e-05,1.479,-1.513,0.03026,-0.02958
PVT_254,2.25,-2.5,tm,wo,tm,85,32.9,5724000,71.12,11740000,5.703,1.806,-1.86,2.056,-1.86,5.811e-05,0.0001351,1.473,-1.511,0.03023,-0.02945
PVT_255,2.5,-2.5,tm,wo,tm,25,33.36,7243000,71.92,10140000,4.434,2.037,-2.115,2.311,-2.115,4.213e-05,0.000115,1.478,-1.514,0.03028,-0.02957
PVT_256,2.5,-2.5,tm,wo,tm,-25,33.63,8360000,72.56,8938000,3.711,2.059,-2.19,2.328,-2.19,3.05e-05,0.0001025,1.481,-1.513,0.03026,-0.02961
PVT_257,2.5,-2.5,tm,wo,tm,85,32.71,6065000,72.34,11230000,5.259,2.017,-2.02,2.294,-2.02,5.496e-05,0.0001305,1.476,-1.514,0.03028,-0.02952
PVT_258,2.75,-2.5,tm,wo,tm,25,30.39,5833000,77.19,9340000,4.105,2.244,-2.195,2.549,-2.195,5.2e-05,0.0001452,1.479,-1.515,0.0303,-0.02959
PVT_259,2.75,-2.5,tm,wo,tm,-25,29.88,6229000,77.84,8101000,3.429,2.268,-2.252,2.566,-2.252,4.097e-05,0.0001403,1.481,-1.514,0.03027,-0.02963
PVT_260,2.75,-2.5,tm,wo,tm,85,30.92,5517000,76.05,10570000,4.883,2.222,-2.124,2.531,-2.124,6.039e-05,0.0001473,1.477,-1.515,0.03031,-0.02954
PVT_261,2.25,-2.75,tm,wo,tm,25,34.82,8452000,69.59,10130000,4.438,1.809,-2.235,2.061,-2.235,3.347e-05,9.73e-05,1.475,-1.513,0.03027,-0.0295
PVT_262,2.25,-2.75,tm,wo,tm,-25,35.9,10520000,69.12,9040000,3.716,1.828,-2.34,2.077,-2.34,2.112e-05,8.077e-05,1.478,-1.512,0.03024,-0.02955
PVT_263,2.25,-2.75,tm,wo,tm,85,33.58,6697000,70.5,11160000,5.264,1.791,-2.112,2.044,-2.112,4.851e-05,0.000116,1.471,-1.514,0.03028,-0.02943
PVT_264,2.5,-2.75,tm,wo,tm,25,33.56,8029000,72.47,9543000,4.109,2.02,-2.369,2.298,-2.369,3.508e-05,0.0001036,1.477,-1.514,0.03028,-0.02955
PVT_265,2.5,-2.75,tm,wo,tm,-25,33.45,8930000,73.27,8308000,3.432,2.041,-2.445,2.316,-2.445,2.472e-05,9.571e-05,pending,pending,pending,pending
PVT_266,2.5,-2.75,tm,wo,tm,85,33.19,6918000,71.87,10690000,4.887,2.001,-2.269,2.281,-2.269,4.698e-05,0.0001147,1.475,-1.515,0.0303,-0.0295
PVT_267,2.75,-2.75,tm,wo,tm,25,30.47,6349000,77.13,8787000,3.829,2.226,-2.441,2.535,-2.441,4.406e-05,0.0001331,pending,pending,pending,pending
PVT_268,2.75,-2.75,tm,wo,tm,-25,29.85,6765000,78.36,7574000,3.193,2.25,-2.499,2.553,-2.499,3.299e-05,0.0001301,pending,pending,pending,pending
PVT_269,2.75,-2.75,tm,wo,tm,85,31.22,6138000,75.86,10050000,4.563,2.205,-2.366,2.518,-2.366,5.269e-05,0.0001322,pending,pending,pending,pending
PVT_270,2.25,-2.25,wp,wo,tm,25,33.48,6117000,70.43,11420000,5.294,1.839,-1.709,2.085,-1.709,5.235e-05,0.0001334,1.477,-1.498,0.02995,-0.02954
PVT_271,2.25,-2.25,wp,wo,tm,-25,34.91,7897000,68.85,10370000,4.463,1.859,-1.797,2.101,-1.797,3.607e-05,0.0001076,1.48,-1.501,0.03002,-0.0296
PVT_272,2.25,-2.25,wp,wo,tm,85,32.1,4837000,71.64,12370000,6.227,1.82,-1.617,2.068,-1.617,6.999e-05,0.0001607,1.474,-1.485,0.02969,-0.02948
PVT_273,2.5,-2.25,wp,wo,tm,25,32.97,6342000,72.2,10790000,4.821,2.052,-1.863,2.323,-1.863,5.063e-05,0.0001311,1.479,-1.505,0.03011,-0.02959
PVT_274,2.5,-2.25,wp,wo,tm,-25,33.6,7595000,71.93,9633000,4.047,2.074,-1.936,2.34,-1.936,3.749e-05,0.0001132,1.482,-1.505,0.03011,-0.02963
PVT_275,2.5,-2.25,wp,wo,tm,85,32.1,5203000,72.79,11830000,5.698,2.031,-1.777,2.306,-1.777,6.461e-05,0.0001515,1.477,-1.502,0.03004,-0.02954
PVT_276,2.75,-2.25,wp,wo,tm,25,30.23,5279000,77.27,9957000,4.43,2.26,-1.952,2.561,-1.952,6.073e-05,0.0001608,1.48,-1.508,0.03017,-0.02961
PVT_277,2.75,-2.25,wp,wo,tm,-25,29.92,5705000,77.84,8713000,3.708,2.284,-2.006,2.578,-2.006,4.96e-05,0.0001525,1.482,-1.508,0.03015,-0.02965
PVT_278,2.75,-2.25,wp,wo,tm,85,30.5,4854000,76.28,11140000,5.255,2.238,-1.886,2.544,-1.886,6.941e-05,0.0001672,1.478,-1.507,0.03015,-0.02956
PVT_279,2.25,-2.5,wp,wo,tm,25,34.23,7303000,69.47,10730000,4.826,1.825,-1.969,2.073,-1.969,4.191e-05,0.0001124,1.476,-1.513,0.03026,-0.02952
PVT_280,2.25,-2.5,wp,wo,tm,-25,35.52,9293000,68.95,9658000,4.052,1.845,-2.068,2.09,-2.068,2.766e-05,9.168e-05,1.479,-1.513,0.03026,-0.02958
PVT_281,2.25,-2.5,wp,wo,tm,85,32.9,5732000,71.11,11730000,5.704,1.806,-1.86,2.056,-1.86,5.817e-05,0.000135,1.473,-1.511,0.03023,-0.02945
PVT_282,2.5,-2.5,wp,wo,tm,25,33.36,7253000,71.91,10130000,4.434,2.037,-2.115,2.311,-2.115,4.218e-05,0.0001149,1.478,-1.514,0.03028,-0.02957
PVT_283,2.5,-2.5,wp,wo,tm,-25,33.63,8371000,72.54,8929000,3.712,2.059,-2.19,2.328,-2.19,3.054e-05,0.0001025,1.481,-1.513,0.03027,-0.02961
PVT_284,2.5,-2.5,wp,wo,tm,85,32.71,6075000,72.33,11220000,5.26,2.017,-2.02,2.294,-2.02,5.501e-05,0.0001304,1.476,-1.514,0.03028,-0.02952
PVT_285,2.75,-2.5,wp,wo,tm,25,30.39,5840000,77.18,9332000,4.105,2.244,-2.195,2.549,-2.195,5.207e-05,0.0001451,1.479,-1.515,0.0303,-0.02959
PVT_286,2.75,-2.5,wp,wo,tm,-25,29.88,6236000,77.82,8094000,3.429,2.268,-2.252,2.566,-2.252,4.104e-05,0.0001402,pending,pending,pending,pending
PVT_287,2.75,-2.5,wp,wo,tm,85,30.92,5524000,76.04,10560000,4.883,2.222,-2.124,2.531,-2.124,6.046e-05,0.0001472,1.477,-1.515,0.03031,-0.02954
PVT_288,2.25,-2.75,wp,wo,tm,25,34.82,8464000,69.58,10120000,4.439,1.809,-2.235,2.061,-2.235,3.351e-05,9.723e-05,1.475,-1.513,0.03027,-0.0295
PVT_289,2.25,-2.75,wp,wo,tm,-25,35.9,10540000,69.1,9031000,3.716,1.828,-2.34,2.077,-2.34,2.115e-05,8.071e-05,1.478,-1.512,0.03024,-0.02955
PVT_290,2.25,-2.75,wp,wo,tm,85,33.58,6708000,70.48,11150000,5.264,1.791,-2.112,2.044,-2.112,4.856e-05,0.0001159,1.471,-1.514,0.03028,-0.02943
PVT_291,2.5,-2.75,wp,wo,tm,25,33.56,8039000,72.46,9534000,4.109,2.02,-2.369,2.298,-2.369,3.513e-05,0.0001035,1.477,-1.514,0.03028,-0.02955
PVT_292,2.5,-2.75,wp,wo,tm,-25,33.45,8941000,73.26,8300000,3.432,2.041,-2.445,2.316,-2.445,2.476e-05,9.564e-05,pending,pending,pending,pending
PVT_293,2.5,-2.75,wp,wo,tm,85,33.19,6927000,71.86,10680000,4.887,2.001,-2.269,2.281,-2.269,4.703e-05,0.0001147,1.475,-1.515,0.0303,-0.0295
PVT_294,2.75,-2.75,wp,wo,tm,25,30.47,6356000,77.12,8779000,3.829,2.226,-2.441,2.535,-2.441,4.413e-05,0.000133,pending,pending,pending,pending
PVT_295,2.75,-2.75,wp,wo,tm,-25,29.85,6772000,78.36,7568000,3.194,2.25,-2.499,2.553,-2.499,3.305e-05,0.00013,pending,pending,pending,pending
PVT_296,2.75,-2.75,wp,wo,tm,85,31.22,6145000,75.85,10040000,4.564,2.205,-2.366,2.518,-2.366,5.276e-05,0.0001321,pending,pending,pending,pending
PVT_297,2.25,-2.25,ws,wo,tm,25,33.48,6100000,70.46,11440000,5.293,1.839,-1.709,2.085,-1.709,5.224e-05,0.0001336,1.477,-1.497,0.02995,-0.02954
PVT_298,2.25,-2.25,ws,wo,tm,-25,34.91,7873000,68.87,10390000,4.461,1.859,-1.797,2.101,-1.797,3.598e-05,0.0001077,1.48,-1.501,0.03002,-0.0296
PVT_299,2.25,-2.25,ws,wo,tm,85,32.1,4824000,71.66,12390000,6.226,1.82,-1.617,2.068,-1.617,6.986e-05,0.0001609,1.474,-1.484,0.02969,-0.02947
PVT_300,2.5,-2.25,ws,wo,tm,25,32.97,6323000,72.23,10810000,4.82,2.052,-1.863,2.323,-1.863,5.052e-05,0.0001313,1.479,-1.505,0.0301,-0.02959
PVT_301,2.5,-2.25,ws,wo,tm,-25,33.6,7575000,71.95,9651000,4.046,2.074,-1.936,2.34,-1.936,3.739e-05,0.0001133,1.482,-1.505,0.0301,-0.02963
PVT_302,2.5,-2.25,ws,wo,tm,85,32.1,5189000,72.82,11840000,5.697,2.031,-1.777,2.306,-1.777,6.449e-05,0.0001517,1.477,-1.502,0.03003,-0.02954
PVT_303,2.75,-2.25,ws,wo,tm,25,30.23,5266000,77.3,9974000,4.429,2.26,-1.952,2.561,-1.952,6.058e-05,0.0001611,1.48,-1.508,0.03017,-0.02961
PVT_304,2.75,-2.25,ws,wo,tm,-25,29.92,5693000,77.86,8728000,3.707,2.284,-2.006,2.578,-2.006,4.945e-05,0.0001527,1.482,-1.507,0.03015,-0.02965
PVT_305,2.75,-2.25,ws,wo,tm,85,30.5,4841000,76.3,11160000,5.254,2.238,-1.886,2.544,-1.886,6.927e-05,0.0001674,1.478,-1.507,0.03015,-0.02956
PVT_306,2.25,-2.5,ws,wo,tm,25,34.23,7280000,69.51,10750000,4.825,1.825,-1.969,2.073,-1.969,4.182e-05,0.0001126,1.476,-1.513,0.03026,-0.02952
PVT_307,2.25,-2.5,ws,wo,tm,-25,35.52,9265000,68.98,9678000,4.051,1.845,-2.068,2.09,-2.068,2.759e-05,9.181e-05,1.479,-1.513,0.03026,-0.02958
PVT_308,2.25,-2.5,ws,wo,tm,85,32.9,5717000,71.14,11740000,5.702,1.806,-1.86,2.056,-1.86,5.805e-05,0.0001352,1.473,-1.511,0.03022,-0.02945
PVT_309,2.5,-2.5,ws,wo,tm,25,33.36,7233000,71.93,10150000,4.433,2.037,-2.115,2.311,-2.115,4.208e-05,0.0001151,1.478,-1.514,0.03028,-0.02957
PVT_310,2.5,-2.5,ws,wo,tm,-25,33.63,8349000,72.57,8946000,3.711,2.059,-2.19,2.328,-2.19,3.045e-05,0.0001026,1.481,-1.513,0.03026,-0.02961
PVT_311,2.5,-2.5,ws,wo,tm,85,32.71,6056000,72.36,11240000,5.258,2.017,-2.02,2.294,-2.02,5.49e-05,0.0001305,1.476,-1.514,0.03028,-0.02952
PVT_312,2.75,-2.5,ws,wo,tm,25,30.39,5827000,77.2,9348000,4.104,2.244,-2.195,2.549,-2.195,5.193e-05,0.0001453,pending,pending,pending,pending
PVT_313,2.75,-2.5,ws,wo,tm,-25,29.88,6221000,77.85,8109000,3.428,2.268,-2.252,2.566,-2.252,4.09e-05,0.0001404,pending,pending,pending,pending
PVT_314,2.75,-2.5,ws,wo,tm,85,30.92,5510000,76.06,10580000,4.882,2.222,-2.124,2.531,-2.124,6.032e-05,0.0001474,pending,pending,pending,pending
PVT_315,2.25,-2.75,ws,wo,tm,25,34.82,8439000,69.6,10140000,4.438,1.809,-2.235,2.061,-2.235,3.343e-05,9.737e-05,1.475,-1.513,0.03027,-0.0295
PVT_316,2.25,-2.75,ws,wo,tm,-25,35.9,10510000,69.13,9050000,3.715,1.828,-2.34,2.077,-2.34,2.108e-05,8.083e-05,1.478,-1.512,0.03024,-0.02955
PVT_317,2.25,-2.75,ws,wo,tm,85,33.58,6687000,70.51,11170000,5.263,1.791,-2.112,2.044,-2.112,4.846e-05,0.0001161,1.471,-1.514,0.03028,-0.02943
PVT_318,2.5,-2.75,ws,wo,tm,25,33.56,8018000,72.48,9552000,4.108,2.02,-2.369,2.298,-2.369,3.503e-05,0.0001037,1.477,-1.514,0.03028,-0.02955
PVT_319,2.5,-2.75,ws,wo,tm,-25,33.45,8919000,73.28,8317000,3.432,2.041,-2.445,2.316,-2.445,2.468e-05,9.577e-05,pending,pending,pending,pending
PVT_320,2.5,-2.75,ws,wo,tm,85,33.19,6908000,71.89,10700000,4.886,2.001,-2.269,2.281,-2.269,4.692e-05,0.0001148,1.475,-1.515,0.0303,-0.0295
PVT_321,2.75,-2.75,ws,wo,tm,25,30.47,6342000,77.14,8795000,3.828,2.226,-2.441,2.535,-2.441,4.4e-05,0.0001332,pending,pending,pending,pending
PVT_322,2.75,-2.75,ws,wo,tm,-25,29.85,6757000,78.37,7581000,3.193,2.25,-2.499,2.553,-2.499,3.293e-05,0.0001302,pending,pending,pending,pending
PVT_323,2.75,-2.75,ws,wo,tm,85,31.22,6130000,75.88,10060000,4.562,2.205,-2.366,2.518,-2.366,5.262e-05,0.0001323,pending,pending,pending,pending
PVT_324,2.25,-2.25,tm,wz,tm,25,30.71,5795000,75.87,9487000,4.606,1.93,-1.93,2.106,-1.93,2.26e-05,0.0001526,1.48,-1.486,0.02972,-0.0296
PVT_325,2.25,-2.25,tm,wz,tm,-25,30.96,6654000,75.27,8259000,3.866,1.951,-1.982,2.12,-1.982,1.587e-05,0.000135,1.482,-1.473,0.02946,-0.02965
PVT_326,2.25,-2.25,tm,wz,tm,85,30.39,5005000,75.89,10710000,5.457,1.911,-1.866,2.091,-1.866,3.304e-05,0.0001715,1.478,-1.492,0.02984,-0.02955
PVT_327,2.5,-2.25,tm,wz,tm,25,27.07,4360000,81.62,8627000,4.221,2.148,-1.99,2.345,-1.99,2.991e-05,0.000203,1.481,-1.49,0.02981,-0.02963
PVT_328,2.5,-2.25,tm,wz,tm,-25,27.1,4927000,81.73,7455000,3.532,2.17,-2.033,2.36,-2.033,2.166e-05,0.0001847,1.483,-1.477,0.02954,-0.02967
PVT_329,2.5,-2.25,tm,wz,tm,85,27.19,3956000,81.29,9870000,5.019,2.126,-1.939,2.33,-1.939,4.157e-05,0.0002186,1.479,-1.497,0.02994,-0.02959
PVT_330,2.75,-2.25,tm,wz,tm,25,24.81,3750000,85.32,8018000,3.9,2.356,-2.027,2.584,-2.027,3.509e-05,0.0002389,1.482,-1.494,0.02987,-0.02964
PVT_331,2.75,-2.25,tm,wz,tm,-25,24.91,4212000,85.48,6923000,3.256,2.38,-2.064,2.599,-2.064,2.539e-05,0.0002168,1.484,-1.48,0.0296,-0.02967
PVT_332,2.75,-2.25,tm,wz,tm,85,24.81,3334000,85.21,9199000,4.65,2.333,-1.983,2.568,-1.983,4.915e-05,0.0002603,1.48,-1.5,0.03001,-0.0296
PVT_333,2.25,-2.5,tm,wz,tm,25,30.52,6264000,76.38,8766000,4.224,1.915,-2.181,2.095,-2.181,1.793e-05,0.0001407,1.479,-1.514,0.03027,-0.02958
PVT_334,2.25,-2.5,tm,wz,tm,-25,30.46,7072000,76.52,7555000,3.535,1.936,-2.235,2.11,-2.235,1.264e-05,0.0001284,1.481,-1.513,0.03026,-0.02963
PVT_335,2.25,-2.5,tm,wz,tm,85,30.59,5631000,76.19,10040000,5.023,1.896,-2.114,2.08,-2.114,2.625e-05,0.0001523,1.477,-1.514,0.03028,-0.02953
PVT_336,2.5,-2.5,tm,wz,tm,25,27.09,4826000,81.89,8023000,3.903,2.132,-2.235,2.334,-2.235,2.349e-05,0.0001852,1.48,-1.514,0.03029,-0.02961
PVT_337,2.5,-2.5,tm,wz,tm,-25,27.02,5356000,82.02,6901000,3.259,2.155,-2.28,2.349,-2.28,1.674e-05,0.0001704,1.482,-1.513,0.03027,-0.02965
PVT_338,2.5,-2.5,tm,wz,tm,85,27.35,4391000,81.31,9254000,4.653,2.111,-2.18,2.319,-2.18,3.344e-05,0.0001964,1.478,-1.515,0.0303,-0.02957
PVT_339,2.75,-2.5,tm,wz,tm,25,25.1,4218000,85.08,7510000,3.631,2.34,-2.269,2.572,-2.269,2.695e-05,0.0002132,pending,pending,pending,pending
PVT_340,2.75,-2.5,tm,wz,tm,-25,25.15,4695000,85.43,6467000,3.027,2.365,-2.308,2.588,-2.308,1.909e-05,0.0001947,pending,pending,pending,pending
PVT_341,2.75,-2.5,tm,wz,tm,85,25.17,3804000,84.65,8665000,4.337,2.317,-2.222,2.557,-2.222,3.894e-05,0.0002305,1.479,-1.516,0.03032,-0.02958
PVT_342,2.25,-2.75,tm,wz,tm,25,30.14,6652000,77.27,8135000,3.906,1.899,-2.433,2.083,-2.433,1.44e-05,0.0001336,1.478,-1.514,0.03027,-0.02956
PVT_343,2.25,-2.75,tm,wz,tm,-25,29.89,7314000,77.72,6965000,3.262,1.92,-2.488,2.099,-2.488,1.015e-05,0.0001246,1.48,-1.512,0.03024,-0.02961
PVT_344,2.25,-2.75,tm,wz,tm,85,30.55,6111000,76.63,9421000,4.656,1.88,-2.364,2.068,-2.364,2.108e-05,0.0001399,1.475,-1.515,0.03029,-0.02951
PVT_345,2.5,-2.75,tm,wz,tm,25,27.07,5243000,82.12,7511000,3.634,2.115,-2.48,2.322,-2.48,1.835e-05,0.0001711,1.479,-1.514,0.03029,-0.02959
PVT_346,2.5,-2.75,tm,wz,tm,-25,26.96,5764000,82.22,6445000,3.03,2.138,-2.527,2.338,-2.527,1.288e-05,0.0001585,1.481,-1.513,0.03025,-0.02963
PVT_347,2.5,-2.75,tm,wz,tm,85,27.42,4840000,81.54,8714000,4.34,2.094,-2.423,2.306,-2.423,2.675e-05,0.0001798,1.477,-1.515,0.03031,-0.02954
PVT_348,2.75,-2.75,tm,wz,tm,25,25.41,4696000,85.02,7084000,3.4,2.322,-2.512,2.56,-2.512,2.05e-05,0.0001918,pending,pending,pending,pending
PVT_349,2.75,-2.75,tm,wz,tm,-25,25.44,5220000,85.25,6093000,2.833,2.348,-2.553,2.577,-2.553,1.426e-05,0.0001757,pending,pending,pending,pending
PVT_350,2.75,-2.75,tm,wz,tm,85,25.5,4268000,84.41,8205000,4.066,2.3,-2.462,2.544,-2.462,3.048e-05,0.0002064,pending,pending,pending,pending
PVT_351,2.25,-2.25,wp,wz,tm,25,30.71,5802000,75.86,9479000,4.606,1.93,-1.93,2.106,-1.93,2.263e-05,0.0001525,1.48,-1.486,0.02972,-0.0296
PVT_352,2.25,-2.25,wp,wz,tm,-25,30.96,6662000,75.26,8251000,3.866,1.951,-1.982,2.12,-1.982,1.59e-05,0.0001349,1.482,-1.473,0.02946,-0.02965
PVT_353,2.25,-2.25,wp,wz,tm,85,30.39,5011000,75.88,10700000,5.458,1.911,-1.866,2.091,-1.866,3.308e-05,0.0001714,1.478,-1.492,0.02984,-0.02955
PVT_354,2.5,-2.25,wp,wz,tm,25,27.07,4365000,81.61,8620000,4.221,2.148,-1.99,2.345,-1.99,2.995e-05,0.0002028,1.481,-1.491,0.02981,-0.02963
PVT_355,2.5,-2.25,wp,wz,tm,-25,27.1,4932000,81.72,7449000,3.532,2.17,-2.033,2.36,-2.033,2.17e-05,0.0001845,1.483,-1.477,0.02954,-0.02967
PVT_356,2.5,-2.25,wp,wz,tm,85,27.19,3961000,81.28,9862000,5.019,2.126,-1.939,2.33,-1.939,4.163e-05,0.0002184,1.479,-1.497,0.02995,-0.02959
PVT_357,2.75,-2.25,wp,wz,tm,25,24.81,3754000,85.31,8012000,3.9,2.356,-2.027,2.584,-2.027,3.515e-05,0.0002387,1.482,-1.494,0.02987,-0.02964
PVT_358,2.75,-2.25,wp,wz,tm,-25,24.91,4216000,85.48,6917000,3.256,2.38,-2.064,2.599,-2.064,2.544e-05,0.0002166,1.484,-1.48,0.02961,-0.02967
PVT_359,2.75,-2.25,wp,wz,tm,85,24.81,3338000,85.2,9192000,4.65,2.333,-1.983,2.568,-1.983,4.922e-05,0.0002601,1.48,-1.501,0.03001,-0.0296
PVT_360,2.25,-2.5,wp,wz,tm,25,30.52,6272000,76.37,8758000,4.225,1.915,-2.181,2.095,-2.181,1.796e-05,0.0001406,1.479,-1.514,0.03027,-0.02958
PVT_361,2.25,-2.5,wp,wz,tm,-25,30.46,7081000,76.51,7548000,3.536,1.936,-2.235,2.11,-2.235,1.266e-05,0.0001283,1.481,-1.513,0.03026,-0.02963
PVT_362,2.25,-2.5,wp,wz,tm,85,30.59,5638000,76.18,10030000,5.023,1.896,-2.114,2.08,-2.114,2.629e-05,0.0001522,1.477,-1.514,0.03028,-0.02953
PVT_363,2.5,-2.5,wp,wz,tm,25,27.09,4832000,81.89,8016000,3.903,2.132,-2.235,2.334,-2.235,2.353e-05,0.0001851,pending,pending,pending,pending
PVT_364,2.5,-2.5,wp,wz,tm,-25,27.02,5361000,82.01,6895000,3.259,2.155,-2.28,2.349,-2.28,1.677e-05,0.0001703,1.482,-1.513,0.03027,-0.02965
PVT_365,2.5,-2.5,wp,wz,tm,85,27.35,4396000,81.3,9247000,4.654,2.111,-2.18,2.319,-2.18,3.349e-05,0.0001963,1.478,-1.515,0.0303,-0.02957
PVT_366,2.75,-2.5,wp,wz,tm,25,25.1,4222000,85.08,7504000,3.632,2.34,-2.269,2.572,-2.269,2.701e-05,0.0002131,1.481,-1.515,0.0303,-0.02962
PVT_367,2.75,-2.5,wp,wz,tm,-25,25.15,4699000,85.43,6462000,3.028,2.365,-2.308,2.588,-2.308,1.913e-05,0.0001946,1.483,-1.514,0.03028,-0.02966
PVT_368,2.75,-2.5,wp,wz,tm,85,25.17,3809000,84.64,8659000,4.338,2.317,-2.222,2.557,-2.222,3.901e-05,0.0002303,1.479,-1.516,0.03032,-0.02958
PVT_369,2.25,-2.75,wp,wz,tm,25,30.14,6661000,77.27,8127000,3.907,1.899,-2.433,2.083,-2.433,1.443e-05,0.0001335,1.478,-1.514,0.03027,-0.02956
