Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_135,2.25,-2.25,ws,wp,tm,25,29.26,5376000,78.32,9407000,4.328,1.888,-1.964,2.099,-1.964,2.059e-05,0.0001676,1.479,-1.508,0.03016,-0.02958
PVT_136,2.25,-2.25,ws,wp,tm,-25,29.16,6009000,78.04,8217000,3.65,1.907,-2.01,2.114,-2.01,1.505e-05,0.0001539,1.481,-1.507,0.03014,-0.02963
PVT_137,2.25,-2.25,ws,wp,tm,85,29.37,4885000,78.05,10590000,5.098,1.869,-1.909,2.084,-1.909,2.844e-05,0.0001804,1.477,-1.508,0.03016,-0.02954
PVT_138,2.5,-2.25,ws,wp,tm,25,25.91,4149000,83.36,8623000,3.97,2.103,-2.013,2.339,-2.013,2.69e-05,0.0002188,1.481,-1.51,0.0302,-0.02961
PVT_139,2.5,-2.25,ws,wp,tm,-25,25.83,4585000,83.69,7513000,3.338,2.125,-2.051,2.354,-2.051,1.979e-05,0.0002019,1.483,-1.508,0.03017,-0.02965
PVT_140,2.5,-2.25,ws,wp,tm,85,26.13,3782000,83.11,9774000,4.694,2.084,-1.968,2.323,-1.968,3.653e-05,0.0002329,1.479,-1.51,0.03021,-0.02958
PVT_141,2.75,-2.25,ws,wp,tm,25,24.06,3669000,86.58,8065000,3.672,2.311,-2.044,2.577,-2.044,3.054e-05,0.0002483,pending,pending,pending,pending
PVT_142,2.75,-2.25,ws,wp,tm,-25,24.06,4058000,86.79,7025000,3.08,2.335,-2.078,2.593,-2.078,2.237e-05,0.0002279,pending,pending,pending,pending
PVT_143,2.75,-2.25,ws,wp,tm,85,24.13,3324000,86.36,9159000,4.353,2.29,-2.005,2.562,-2.005,4.189e-05,0.0002678,pending,pending,pending,pending
PVT_144,2.25,-2.5,ws,wp,tm,25,28.96,5787000,78.88,8676000,3.974,1.872,-2.214,2.088,-2.214,1.667e-05,0.000157,1.478,-1.513,0.03026,-0.02956
